BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",..2,114,1060,E26VS694A011-01,CABLE TB0 ~ MOTOR STARTER,1,EA,L,,
"",..2,115,1070,E26VS694A014-00,CABLES REG/TB30~EAUX1/EAUX2,1,EA,L,,
"",..2,116,1080,E26VS694A015-00,CABLE PFM LOOPS,1,EA,L,,
BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",..2,117,1090,E26VS694A016-01,CABLE IOM2(CE56A)~OPT(1CE56),1,EA,L,,
"",..2,118,1100,E26VS694A017-01,CABLE IOM2(CE57A)~OPT(1CE57),1,EA,L,,
"",..2,119,1110,E26VS694A018-01,CABLE OPT.PCB~TH4,1,EA,L,,
"",..2,120,1120,E26VS694A021-00,CABLE OPT.PCB PWR 1YD1,1,EA,L,,
"",..2,121,1130,E26VS694A022-01,CABLE MTC ~ EARTH BAR,1,EA,L,,
"",..2,122,1140,E26VS694A023-00,CABLE OPTION XE6-LOOPS,1,EA,L,,
"",..2,123,1150,E26VS694A025-04,CABLE XB1~TB30/EAUX,1,EA,L,,
"",..2,124,1160,E26VS694A026-01,CABLE RL.PCB/TB30~TB30/RELAY,1,EA,L,,
"",..2,125,1170,E26VS694A027-01,CABLE XA2/TB30/EAUX~NCON2,1,EA,L,,
"",..2,126,1180,E26VS694A028-01,CABLE TB20~POUT,1,EA,L,,
"",..2,127,1190,E26VS694A029-00,CABLE LS1001 ~ MTC,1,EA,L,,
"",..2,128,1200,E26VS694A030-01,CABLE CP14/CP21/TB20~T2,1,EA,L,,
"",..2,129,1210,E26VS694A031-01,CABLE TB10~REG1,1,EA,L,,
"",..2,130,1220,E26VS694A032-00,"CABLE CPD01, PE ~ IOM",1,EA,L,,
"",..2,131,1230,E26VS694A033-00,CABLE TB10 ~ CX48(PSM),1,EA,L,,
"",..2,132,1240,E26VS694A034-00,CABLE RL.PCB (XC2) ~ REG1/2,1,EA,L,,
"",..2,133,1250,E26VS694A036-00,"CABLE TB30, PE ~ IOM",1,EA,L,,
"",..2,134,1260,E26VS694A037-01,CABLE EAUX2~RL.PCB/TB30,1,EA,L,,
"",..2,135,1270,E26VS694A038-01,CABLE MCF/MCFDC~TB30/RL.PCB,1,EA,L,,
"",..2,136,1280,E26VS694A039-01,CABLE MCF/MCFDC~MCFDC/TB20,1,EA,L,,
"",..2,137,1290,E26VS694A040-01,CABLE MCC~XA2/TB30,1,EA,L,,
"",..2,138,1300,E26VS694A041-01,CABLE PSM/SPM~XA1/XB1,1,EA,L,,
"",..2,139,1310,E26VS694A052-01,CABLE REG2~TB10,1,EA,L,,
"",..2,140,1320,E26VS694A053-01,CABLE CPD19A~TB30,1,EA,L,,
"",..2,141,1330,E26VS694A054-01,CABLE ATC ARM INTERNAL,1,EA,L,,
"",..2,142,1340,E26VS694A055-00,CABLE 2-PE ~ NC-PE,1,EA,L,,
"",..2,143,1350,E26VS694A056-00,CABLE MSIV ~ MS78R,1,EA,L,,
"",..2,144,1360,E26VS694A058-01,CABLE MTC.IOM(JD1B)~CE.IOM(JD1A),1,EA,L,,
"",..2,145,1370,E26VS694A059-00,CABLE TB30/PE~CE IOM,1,EA,L,,
"",..2,146,1380,E26VS694A060-01,CABLE XT1~TB30/EAUX2,1,EA,L,,
"",..2,147,1390,E26VS694A062-00,CABLE CP11/12/13 ~ TB10,1,EA,L,,
"",..2,148,1400,E26VS613A601-04,CABLE MTC~SP/OIL TEMP CNTRL.,1,EA,L,,
"",..2,149,1410,E26VS692A003-01,ASSY X-CABLE CHAIN CONDUIT 1,1,EA,L,,
"",..2,150,1420,E26VS692A004-00,ASSY X-CABLE CHAIN CONDUIT 2,1,EA,L,,
"",..2,151,1430,E26VS692A005-04,"CABLE SPM(JYA2)~SP.TB(CN,OHS)",1,EA,L,,
"",..2,152,1440,E26VS692A006-01,CABLE MTC~SPINDLE TB,1,EA,L,,
"",..2,153,1450,E26VS692A100-01,CABLE SVM-X ~ MOT-X (PWR),1,EA,L,,
"",..2,154,1460,E26VS692A101-01,CABLE MTC ~ X AXIS SERVO MTR(ENC),1,EA,L,,
"",..2,155,1470,E26VS692A200-01,CABLE SVM-Y ~ MOT-Y (PWR),1,EA,L,,
"",..2,156,1480,E26VS692A201-01,CABLE MTC ~ Y AXIS SERVO MTR(ENC),1,EA,L,,
"",..2,157,1490,E26VS692A300-01,CABLES SVM-Z ~ MOT-Z (PWR),1,EA,L,,
"",..2,158,1500,E26VS692A301-01,CABLE MTC ~ Z AXIS SERVO MTR(ENC),1,EA,L,,
"",..2,159,1510,E26VS692A302-02,CABLE RL.PCB (XG1)~MOT-Z (BRK),1,EA,L,,
"",..2,160,1520,E26VS692A404-06,CABLE PCB ~ ATC PANEL (MP94)/PB,1,EA,L,,
"",..2,161,1530,E26VS692A406-02,CABLE MTC~ATC MAG MTR(ENC),1,EA,L,,
"",..2,162,1540,E26VS692A416-04,CABLE RL.PCB/OPT.PCB ~ ATC.TB,1,EA,L,,
"",..2,163,1550,E26VS692A417-02,CABLE MSIV ~ ATC. TB,1,EA,L,,
"",..2,164,1560,E26VS692A420-02,CABLE RL.PCB(XD4) ~MP113,1,EA,L,,
"",..2,165,1570,E26VS692A501-02,CABLE MS4~ AIR/FLUID PANEL,1,EA,L,,
"",..2,166,1580,E26VS692A511-03,CABLE MTC ~ FLUID PANEL 1 (M12 JB),1,EA,L,,
"",..2,167,1590,E26VS692A512-03,CABLE MTC ~ FLUID PANEL 2 (M12 JB),1,EA,L,,
"",..2,168,1600,E26VS692A903-02,CABLE OP.PCB(XMP370A)~RL.PCB(XC1),1,EA,L,,
"",..2,169,1610,E26VS692A904-04,CABLE OP.IOM11(JD1B) ~ MTC(JD1A),1,EA,L,,
"",..2,170,1620,E26VS692A905-02,CABLE OP.CPD27~MTC TB30,1,EA,L,,
"",..2,171,1630,E26VS692A906-00,CABLE MTC(RJ45)~OP.PNL(CD38A),1,EA,L,,
"",..2,172,1640,E26VS692A602-06,CABLE MTC ~ 20K OILMATIC,1,EA,L,,
"",..2,173,1650,23VS120A453-00,"NAME PLATE,PRO 6",1,EA,L,,
"",..2,174,1660,21VS696A441-00,"BRACKET, SPONGE BOTTOM",2,EA,L,,
BOM Level,Level,Row,Item,Component number,Object description,Quantity,Un,Ict,B,Price
"",..2,175,1670,18VS696A712-00,"SPONGE, MTC BOTTOM",2,EA,L,,
"",..2,176,1680,Z271B1108016,SOC HD CAP SCR M8X16,4,EA,L,1,
"",..2,177,1690,Z275A3100800,"WASHER (MS), M8 (OD18MM)",4,EA,L,1,
"",..2,178,2000,26VS691A-01.8,"MTC VD_OP PANEL, PRO6 (V26/V27)",1,SET,L,,
"",...3,179,10,Z271B1106020,SOC HD CAP SCR M6X20,3,EA,L,1,
"",...3,180,20,Z275A3100600,WASHER M6,3,EA,L,1,
"",...3,181,30,26VS691A205-02,"SUPPORT, OP, UPPER",1,EA,L,,
"",...3,182,40,Z271B1105016,SOC HD CAP SCR M5X16,4,EA,L,1,
"",...3,183,50,Z271B1108025,SOC HD CAP SCR M8X25,1,EA,L,1,
"",...3,184,60,1CD025A-03.2,"MTC VD_OP, PRO6, MECHANICAL",1,SET,L,,
"",....4,185,10,26VS691A052-02,"BOX, OP PANEL",1,EA,L,,
"",....4,186,20,26VS691A203-00,"COVER, OP",1,EA,L,,
"",....4,187,30,Z271R1106012,TRUSS HD CROSS REC SCR M6X12,6,EA,L,1,
"",....4,188,40,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.87,M,L,,
"",....4,189,50,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.87,M,L,,
"",....4,190,60,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.43,M,L,,
"",....4,191,70,Z295P6101500,SEALING GASKET C-300-EF-10-15 L=2m (TAKI,0.43,M,L,,
"",....4,192,80,Z295C0030102,"RUBBER LEGS, ECRK15",2,EA,L,,
